hazard,territory,storm_intensity_max,storm_cmcc_intensity_max,delta_intensity_max,unit
wind,Guadeloupe,253.1504088,251.68762080000002,-1.462787999999989,km/h
wind,Martinique,259.767378,260.9649612,1.1975831999999969,km/h
wind,Saint-Barthelemy,241.6379508,247.41861480000003,5.78066400000003,km/h
wind,Saint-Martin,244.06568280000002,251.35412399999998,7.288441199999966,km/h
wind,Saint-Pierre-et-Miquelon,181.8461016,210.4601184,28.6140168,km/h
wind,Guyane,254.42956080000002,262.28287439999997,7.85331359999995,km/h
wind,La Reunion,254.52592919999998,263.329452,8.803522800000025,km/h
wind,Mayotte,227.3957136,252.8792928,25.48357920000001,km/h
wind,Nouvelle-Caledonie,249.210234,268.25155920000003,19.041325200000017,km/h
rain,Guadeloupe,1586.290543,2291.910269,705.6197259999999,mm
rain,Martinique,1091.0144,1142.169432,51.15503199999989,mm
rain,Saint-Barthelemy,904.650226,1097.881328,193.23110199999996,mm
rain,Saint-Martin,960.721853,1173.628096,212.9062429999999,mm
rain,Saint-Pierre-et-Miquelon,245.567679,323.137006,77.56932699999999,mm
rain,Guyane,514.522372,379.530781,-134.99159100000003,mm
rain,La Reunion,1334.27193,1006.720952,-327.5509780000001,mm
rain,Mayotte,912.247542,946.934499,34.68695700000001,mm
rain,Nouvelle-Caledonie,1090.717583,1050.751849,-39.96573400000011,mm
surge,Guadeloupe,5.976257,5.984735,0.00847799999999932,m
surge,Martinique,6.428651,6.361666,-0.06698500000000074,m
surge,Saint-Barthelemy,5.626926,5.992419,0.36549299999999985,m
surge,Saint-Martin,5.634357,5.902872,0.2685150000000007,m
surge,Saint-Pierre-et-Miquelon,4.231385,5.007151,0.775766,m
surge,Guyane,3.290129,3.888328,0.5981990000000001,m
surge,La Reunion,6.379085,6.510813,0.13172799999999985,m
surge,Mayotte,5.224692,6.241507,1.0168150000000002,m
surge,Nouvelle-Caledonie,5.732338,5.917695,0.18535699999999977,m
landslide,Guadeloupe,1.82,1.18,-0.6400000000000001,classe ordinale
landslide,Martinique,2.710844,2.539184,-0.1716599999999997,classe ordinale
landslide,Saint-Barthelemy,0.0,0.0,0.0,classe ordinale
landslide,Saint-Martin,0.0,0.0,0.0,classe ordinale
landslide,Saint-Pierre-et-Miquelon,3.0,3.0,0.0,classe ordinale
landslide,Guyane,3.0,3.0,0.0,classe ordinale
landslide,La Reunion,3.902542,3.394068,-0.5084740000000001,classe ordinale
landslide,Mayotte,2.0,2.0,0.0,classe ordinale
landslide,Nouvelle-Caledonie,6.0,4.0,-2.0,classe ordinale
