category,scope,hazard,scenario,service,class_key,component,metric,unit,label,full_value,sample_v1_value,sample_v2_value,delta_abs,delta_pct,v2_delta_abs,v2_delta_pct,v2_vs_v1_delta_abs,v2_vs_v1_delta_pct,missing_in
comparability,complete_analysis,all,all,,,,asset_results_count,count,,110315.0,110315.0,110315.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,complete_analysis,all,all,,,,territory_results_count,count,,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary,all,all,,,,asset_count_original,count,,110315.0,110315.0,110315.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary,all,all,,,,asset_count_points,count,,290545.0,290545.0,290545.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary,all,all,,,,total_exposure_eur,eur,,10958916351.48,10958916351.48,10958916351.48,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary.asset_type_counts,all,all,,,,eau_aep_cana,count,,31941.0,31941.0,31941.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary.asset_type_counts,all,all,,,,eau_aep_ouvrage_CAP,count,,68.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary.asset_type_counts,all,all,,,,eau_aep_ouvrage_CUV,count,,202.0,202.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary.asset_type_counts,all,all,,,,eau_aep_ouvrage_OUVEB,count,,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary.asset_type_counts,all,all,,,,eau_aep_ouvrage_STPMP,count,,118.0,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary.asset_type_counts,all,all,,,,eau_aep_ouvrage_TRAIT,count,,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,
comparability,exposure_summary.asset_type_counts,all,all,,,,eau_eu_cana,count,,13795.0,13795.0,13795.0,0.0,0.0,0.0,0.0,0.0,0.0,
