comparison,ranking_basis,rank,reference_value,compared_value,comparison_delta_abs,comparison_delta_pct,category,scope,hazard,scenario,service,class_key,component,metric,unit,label,full_value,sample_v1_value,sample_v2_value,delta_abs,delta_pct,v2_delta_abs,v2_delta_pct,v2_vs_v1_delta_abs,v2_vs_v1_delta_pct,missing_in
v1_vs_full,abs,1,93292280.1,133405353.65,40113073.55000001,42.9972056712547,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp100,,eau_eu,,damage_eur,eur,Eau EU,93292280.1,133405353.65,131508564.3,40113073.55000001,42.9972056712547,38216284.2,40.96403706612805,-1896789.350000009,-1.421824010883696,
v1_vs_full,abs,2,93292280.1,133405353.65,40113073.55000001,42.9972056712547,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp100,,eau_eu,,total_damage_eur,eur,Eau EU,93292280.1,133405353.65,131508564.3,40113073.55000001,42.9972056712547,38216284.2,40.96403706612805,-1896789.350000009,-1.421824010883696,
v1_vs_full,abs,3,77729034.89,115347140.7,37618105.81,48.3964658293212,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp100,,eau_eu,,blocking_ouvrage_eur,eur,Eau EU,77729034.89,115347140.7,115182493.86,37618105.81,48.3964658293212,37453458.97,48.18464428768877,-164646.84000000358,-0.14274028727614882,
v1_vs_full,abs,4,77729034.89,115347140.7,37618105.81,48.3964658293212,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp100,,eau_eu,,indirect_damage_eur,eur,Eau EU,77729034.89,115347140.7,115182493.86,37618105.81,48.3964658293212,37453458.97,48.18464428768877,-164646.84000000358,-0.14274028727614882,
v1_vs_full,abs,5,92266925.51,129147291.93,36880366.42,39.97138326236183,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,damage_eur,eur,Eau EU,92266925.51,129147291.93,132332910.37,36880366.42,39.97138326236183,40065984.86,43.42399471808302,3185618.4399999976,2.466655237127741,
v1_vs_full,abs,6,92266925.51,129147291.93,36880366.42,39.97138326236183,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,total_damage_eur,eur,Eau EU,92266925.51,129147291.93,132332910.37,36880366.42,39.97138326236183,40065984.86,43.42399471808302,3185618.4399999976,2.466655237127741,
v1_vs_full,abs,7,77732541.34,111996150.39,34263609.05,44.07884839392027,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,blocking_ouvrage_eur,eur,Eau EU,77732541.34,111996150.39,116241676.53,34263609.05,44.07884839392027,38509135.19,49.540558595096094,4245526.140000001,3.7907786341012293,
v1_vs_full,abs,8,77732541.34,111996150.39,34263609.05,44.07884839392027,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,eau_eu,,indirect_damage_eur,eur,Eau EU,77732541.34,111996150.39,116241676.53,34263609.05,44.07884839392027,38509135.19,49.540558595096094,4245526.140000001,3.7907786341012293,
v1_vs_full,abs,9,82404433.06,116167607.57,33763174.50999999,40.97252205523515,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp50,,eau_eu,,damage_eur,eur,Eau EU,82404433.06,116167607.57,116738243.98,33763174.50999999,40.97252205523515,34333810.92,41.66500471522084,570636.4100000113,0.49121818201873413,
v1_vs_full,abs,10,82404433.06,116167607.57,33763174.50999999,40.97252205523515,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp50,,eau_eu,,total_damage_eur,eur,Eau EU,82404433.06,116167607.57,116738243.98,33763174.50999999,40.97252205523515,34333810.92,41.66500471522084,570636.4100000113,0.49121818201873413,
