provider_key,provider_name,track_instance_id,year,track_id,rank,stratum,loss_eur,selection_score,selection_score_kind,sample_weight,frequency_annual,return_period_years_approx,max_wind_mps,category,min_distance_km,closest_lat,closest_lon,quadrant
storm,STORM,storm|8527|8_8527_5,8527,8_8527_5,77,rank_051_100,0.0,68.4450779343084,intensity_distance_weighted_mps,50.0,0.005,200.0,69.31818181818183,4,16.9415486769099,16.3,-61.5,NW
storm,STORM,storm|5062|5_5062_6,5062,5_5062_6,109,rank_101_200,0.0,66.48827072139869,intensity_distance_weighted_mps,100.0,0.01,66.66666666666667,66.93181818181819,4,12.251486582519494,16.2,-61.30000000000001,NE
storm,STORM,storm|6840|6_6840_7,6840,6_6840_7,217,rank_201_500,0.0,62.34091631883847,intensity_distance_weighted_mps,100.0,0.01,40.0,72.95454545454547,5,61.89230007550753,16.7,-61.60000000000002,NW
storm,STORM,storm|1516|1_1516_13,1516,1_1516_13,221,rank_201_500,0.0,62.263795102672866,intensity_distance_weighted_mps,100.0,0.01,28.57142857142857,62.84090909090909,4,14.441232677570758,16.1,-61.30000000000001,SE
storm,STORM,storm|5741|5_5741_7,5741,5_5741_7,333,rank_201_500,0.0,59.54384247913656,intensity_distance_weighted_mps,100.0,0.01,22.222222222222218,72.38636363636364,5,69.6623266658628,16.8,-61.39999999999998,NE
storm,STORM,storm|5643|5_5643_11,5643,5_5643_11,545,rank_501_1000,0.0,55.707510892933,intensity_distance_weighted_mps,125.0,0.0125,17.391304347826082,68.06818181818183,4,70.65703423409055,16.8,-61.30000000000001,NE
storm,STORM,storm|9165|9_9165_4,9165,9_9165_4,598,rank_501_1000,0.0,54.59212474725031,intensity_distance_weighted_mps,125.0,0.0125,14.285714285714285,61.02272727272728,4,51.48160684479339,15.9,-61.80000000000001,SW
storm,STORM,storm|4360|4_4360_5,4360,4_4360_5,642,rank_501_1000,0.0,53.70864386173861,intensity_distance_weighted_mps,125.0,0.0125,12.121212121212121,56.81818181818182,3,36.092510952515966,16.3,-61.10000000000002,NE
storm,STORM,storm|2658|2_2658_2,2658,2_2658_2,957,rank_501_1000,0.0,49.09019981869642,intensity_distance_weighted_mps,125.0,0.0125,10.526315789473685,49.43181818181819,3,12.513086963196397,16.1,-61.5,SW
storm,STORM,storm|6953|6_6953_7,6953,6_6953_7,1193,rank_1001_2000,0.0,45.99517954441365,intensity_distance_weighted_mps,142.85714286,0.014285714285714285,9.15032679738562,47.95454545454546,2,30.959424117241788,16.2,-61.69999999999999,NW
storm,STORM,storm|5122|5_5122_0,5122,5_5122_0,1207,rank_1001_2000,0.0,45.7995803263886,intensity_distance_weighted_mps,142.85714286,0.014285714285714285,8.092485549132947,51.25000000000001,3,51.745844798255305,15.8,-61.69999999999999,SW
storm,STORM,storm|223|0_223_7,223,0_223_7,1310,rank_1001_2000,0.0,44.59929772565968,intensity_distance_weighted_mps,142.85714286,0.014285714285714285,7.253886010362693,45.34090909090909,2,19.342626122509245,16.0,-61.39999999999998,SE
storm,STORM,storm|6867|6_6867_6,6867,6_6867_6,1402,rank_1001_2000,0.0,43.30818503310784,intensity_distance_weighted_mps,142.85714286,0.014285714285714285,6.572769953051642,68.52272727272728,4,114.45422033794496,15.6,-62.30000000000001,SW
storm,STORM,storm|4313|4_4313_4,4313,4_4313_4,1780,rank_1001_2000,0.0,39.24660787710745,intensity_distance_weighted_mps,142.85714286,0.014285714285714285,6.008583690987123,59.77272727272728,4,108.47848751911921,16.4,-62.39999999999998,NW
storm,STORM,storm|2976|2_2976_4,2976,2_2976_4,1792,rank_1001_2000,0.0,39.159560982087925,intensity_distance_weighted_mps,142.85714286,0.014285714285714285,5.533596837944663,39.659090909090914,1,16.9415486769099,16.3,-61.5,NW
